TIME,2008
Belgium,4.06
Bulgaria,6.48
Czechia,3.43
Denmark,3.63
Germany (until 1990 former territory of the FRG),4.76
Estonia,4.99
Ireland,4.43
Greece,5.89
Spain,5.59
France,4.4
Croatia,
Italy,5.21
Cyprus,4.3
Latvia,7.27
Lithuania,6.11
Luxembourg,4.11
Hungary,3.6
Malta,4.26
Netherlands,4.01
Austria,4.19
Poland,5.12
Portugal,6.11
Romania,7
Slovenia,3.36
Slovakia,3.36
Finland,3.76
Sweden,3.7
United Kingdom,5.63
Iceland,3.84
Liechtenstein,
Norway,3.73
Switzerland,4.86
Montenegro,
North Macedonia,
Albania,
Serbia,
Turkey,9.33
